,count(p.gender),FemaleCount,MaleCount,OtherCount,title,year,Female+Male
0,8,3,5,0,Alam Ara,1931,8
1,13,5,8,0,Achhut Kanya,1936,
2,20,11,9,0,Devdas,1936,
3,10,3,7,0,Sant Tukaram,1936,
4,44,17,27,0,The Little Princess,1939,
5,53,7,46,0,Footsteps in the Dark,1941,
6,13,3,10,0,Kismet,1943,
7,10,3,7,0,Dr. Kotnis Ki Amar Kahani,1946,
8,8,3,5,0,Neecha Nagar,1946,
9,8,5,3,0,Jugnu,1947,
10,11,6,5,0,Neel Kamal,1947,
11,13,5,8,0,Aag,1948,
12,13,3,10,0,Mela,1948,
13,6,2,4,0,Shaheed,1948,
14,11,4,7,0,Andaz,1949,
15,12,5,7,0,Barsaat,1949,
16,17,6,11,0,Mahal,1949,
17,10,6,4,0,Jogan,1950,
18,30,7,23,0,The 20 Questions Murder Mystery,1950,
19,11,5,6,0,Albela,1951,
20,17,8,9,0,Awaara,1951,
21,12,3,9,0,Baazi,1951,
22,14,6,8,0,Deedar,1951,
23,10,3,7,0,Tarana,1951,
24,104,12,92,0,The Day the Earth Stood Still,1951,
25,11,6,5,0,Aan,1952,
26,18,5,13,0,Anand Math,1952,
27,18,5,13,0,Baiju Bawra,1952,
28,10,4,6,0,Daag,1952,
29,8,3,5,0,Jaal,1952,
30,6,4,2,0,Sangdil,1952,
31,9,4,5,0,Aah,1953,
32,7,4,3,0,Anarkali,1953,
33,14,5,9,0,Baaz,1953,
34,50,16,34,0,Do Bigha Zamin,1953,
35,30,8,22,0,Jhansi Ki Rani,1953,
36,31,12,19,0,Parineeta,1953,
37,12,5,7,0,Patita,1953,
38,53,15,38,0,Thunder in the East,1953,
39,13,6,7,0,Aar-Paar,1954,
40,16,3,13,0,Amar,1954,
41,10,3,7,0,Boot Polish,1954,
42,11,4,7,0,Mirza Ghalib,1954,
43,6,3,3,0,Naukari,1954,
44,15,3,12,0,Taxi Driver,1954,
45,15,6,9,0,Azaad,1955,
46,30,13,17,0,Devdas,1955,
47,13,5,8,0,House No. 44,1955,
48,10,4,6,0,Insaniyat,1955,
49,6,3,3,0,Jhanak Jhanak Payal Baaje,1955,
50,18,9,9,0,Mr. & Mrs. '55,1955,
51,8,3,5,0,Munimji,1955,
52,16,6,10,0,Seema,1955,
53,24,9,15,0,Shree 420,1955,
54,15,6,9,0,C.I.D.,1956,
55,12,5,7,0,Chori Chori,1956,
56,11,4,7,0,Funtoosh,1956,
57,21,3,18,0,Jagriti,1956,
58,30,6,24,0,Jagte Raho,1956,
59,20,5,15,0,New Delhi,1956,
60,24,2,22,0,Ab Dilli Dur Nahin,1957,
61,17,4,13,0,Apradhi Kaun?,1957,
62,14,2,12,0,Do Ankhen Barah Haath,1957,
63,36,13,23,0,Maya Bazaar,1957,
64,18,7,11,0,Mother India,1957,
65,17,8,9,0,Musafir,1957,
66,10,5,5,0,Nau Do Gyarah,1957,
67,24,8,16,0,Naya Daur,1957,
68,13,6,7,0,Pardesi,1957,
69,13,4,9,0,Paying Guest,1957,
70,15,7,8,0,Pyaasa,1957,
71,16,8,8,0,Sharada,1957,
72,12,4,8,0,Tumsa Nahin Dekha,1957,
73,85,22,63,0,Auntie Mame,1958,
74,12,7,5,0,Bhookailas,1958,
75,12,5,7,0,Chalti Ka Naam Gaadi,1958,
76,12,4,8,0,Howrah Bridge,1958,
77,18,5,13,0,Kala Pani,1958,
78,15,1,14,0,Madhumati,1958,
79,9,3,6,0,Phir Subha Hogi,1958,
80,17,6,11,0,Solva Saal,1958,
81,17,9,8,0,Yahudi,1958,
82,18,8,10,0,Anari,1959,
83,20,7,13,0,Dhool Ka Phool,1959,
84,14,4,10,0,Dil Deke Dekho,1959,
85,16,10,6,0,Kaagaz Ke Phool,1959,
86,9,2,7,0,Navrang,1959,
87,22,3,19,0,North West Frontier,1959,
88,15,1,14,0,Anuradha,1960,
89,25,9,16,0,Barsaat Ki Raat,1960,
90,13,7,6,0,Bombai Ka Babu,1960,
91,27,14,13,0,Chaudhvin Ka Chand,1960,
92,5,2,3,0,Chhalia,1960,
93,15,9,6,0,Dil Apna Aur Preet Parai,1960,
94,14,5,9,0,Jaali Note,1960,
95,20,6,14,0,Jis Desh Men Ganga Behti Hai,1960,
96,37,12,25,0,Kala Bazar,1960,
97,8,3,5,0,Kanoon,1960,
98,19,7,12,0,Kohinoor,1960,
99,11,5,6,0,Love in Simla,1960,
100,31,9,22,0,Parakh,1960,
101,19,7,12,0,Sujata,1960,
102,28,8,20,0,Dharmputra,1961,
103,37,10,27,0,Gunga Jumna,1961,
104,15,5,10,0,Hum Dono,1961,
105,10,3,7,0,Jab Pyar Kisise Hota Hai,1961,
106,20,8,12,0,Jhumroo,1961,
107,15,6,9,0,Junglee,1961,
108,21,11,10,0,Kabuliwala,1961,
109,41,13,28,0,Anpadh,1962,
110,19,8,11,0,Asli-Naqli,1962,
111,8,3,5,0,Baat Ek Raat Ki,1962,
112,18,3,15,0,Bees Saal Baad,1962,
113,28,8,20,0,China Town,1962,
114,11,6,5,0,Dil Tera Diwana,1962,
115,20,7,13,0,Half Ticket,1962,
116,13,5,8,0,Hariyali Aur Rasta,1962,
117,20,6,14,0,Naughty Boy,1962,
118,27,14,13,0,Prem Patra,1962,
119,13,7,6,0,Professor,1962,
120,16,5,11,0,Sahib Bibi Aur Ghulam,1962,
121,44,16,28,0,Bandini,1963,
122,5,1,4,0,Bhootnath,1963,
123,11,3,8,0,Bluff Master,1963,
124,10,4,6,0,Dil Ek Mandir,1963,
125,12,6,6,0,Dil Hi To Hai,1963,
126,6,3,3,0,Gumrah,1963,
127,16,8,8,0,Mere Mehboob,1963,
128,42,9,33,0,Mujhe Jeene Do,1963,
129,13,6,7,0,Phir Wohi Dil Laya Hoon,1963,
130,16,8,8,0,Tere Ghar Ke Samne,1963,
131,11,6,5,0,Ayee Milan Ki Bela,1964,
132,17,8,9,0,Chitralekha,1964,
133,11,4,7,0,Dosti,1964,
134,11,4,7,0,Dulha Dulhan,1964,
135,13,4,9,0,Geet Gaaya Pattharon Ne,1964,
136,32,8,24,0,Haqeeqat,1964,
137,20,9,11,0,Kashmir Ki Kali,1964,
138,10,3,7,0,Kohraa,1964,
139,37,7,30,0,Leader,1964,
140,14,5,9,0,Mr. X in Bombay,1964,
141,11,5,6,0,Rajkumar,1964,
142,7,3,4,0,Sangam,1964,
143,9,4,5,0,Sharabi,1964,
144,15,6,9,0,Woh Kaun Thi?,1964,
145,2,1,1,0,Yaadein,1964,
146,21,9,12,0,Arzoo,1965,
147,20,5,15,0,Bhoot Bungla,1965,
148,14,6,8,0,Chemmeen,1965,
149,19,7,12,0,Guide,1965,
150,14,5,9,0,Gumnaam,1965,
151,16,6,10,0,Himalay Ki Godmein,1965,
152,11,6,5,0,Jab Jab Phool Khile,1965,
153,24,11,13,0,Janwar,1965,
154,21,9,12,0,Kaajal,1965,
155,12,6,6,0,Khandan,1965,
156,33,7,26,0,Shaheed,1965,
157,12,5,7,0,Shakespeare-Wallah,1965,
158,15,5,10,0,Teen Devian,1965,
159,24,6,18,0,Waqt,1965,
160,14,4,10,0,Aakhri Khat,1966,
161,23,11,12,0,Aaye Din Bahar Ke,1966,
162,29,6,23,0,Amrapali,1966,
163,19,6,13,0,Anupama,1966,
164,18,7,11,0,Baharen Phir Bhi Aayengi,1966,
165,10,5,5,0,Budtameez,1966,
166,25,12,13,0,Devar,1966,
167,30,6,24,0,Dil Diya Dard Liya,1966,
168,10,4,6,0,Do Badan,1966,
169,13,4,9,0,Love in Tokyo,1966,
170,12,4,8,0,Mamta,1966,
171,15,2,13,0,Mera Saaya,1966,
172,45,15,30,0,Phool Aur Patthar,1966,
173,9,4,5,0,Pyar Kiye Jaa,1966,
174,12,7,5,0,Saraswathi Sabatham,1966,
175,15,6,9,0,Suraj,1966,
176,27,7,20,0,Teesri Kasam,1966,
177,24,9,15,0,Teesri Manzil,1966,
178,15,4,11,0,Aamne - Saamne,1967,
179,9,2,7,0,An Evening in Paris,1967,
180,19,6,13,0,Anita,1967,
181,9,3,6,0,Around the World,1967,
182,27,11,16,0,Baharon Ke Sapne,1967,
183,19,7,12,0,Bahu Begum,1967,
184,14,4,10,0,Diwana,1967,
185,22,3,19,0,Farz,1967,
186,25,6,19,0,Hamraaz,1967,
187,32,8,24,0,Jewel Thief,1967,
188,20,5,15,0,Majhli Didi,1967,
189,16,6,10,0,Milan,1967,
190,14,5,9,0,Patthar Ke Sanam,1967,
